speaker_id,start_time,end_time,text,sentiment_1,sentiment_score_1,sentiment_2,sentiment_score_2,sentiment_3,sentiment_score_3,sentiment_4,sentiment_score_4,sentiment_5,sentiment_score_5,sentiment_6,sentiment_score_6,sentiment_7,sentiment_score_7,sentiment_8,sentiment_score_8,sentiment_9,sentiment_score_9,sentiment_10,sentiment_score_10,sentiment_11,sentiment_score_11,sentiment_12,sentiment_score_12,sentiment_13,sentiment_score_13,sentiment_14,sentiment_score_14,sentiment_15,sentiment_score_15,quintile
spk_0,1.0773,4.0298996,How are you move it? This? This is amazing.,Surprise (positive),0.31640610098838806,Excitement,0.27598118782043457,Awe,0.27583345770835876,Interest,0.18796883523464203,Adoration,0.17809587717056274,Joy,0.16628363728523254,Admiration,0.1443350911140442,Ecstasy,0.09489449113607407,Aesthetic Appreciation,0.08689679205417633,Amusement,0.0778147354722023,Relief,0.06552214920520782,Love,0.05051245540380478,Entrancement,0.048457544296979904,Confusion,0.04533086717128754,Satisfaction,0.03786546736955643,0
spk_0,1.0773,5.0673,How are you move it? This? This is amazing. This is the best day,Excitement,0.3350571095943451,Surprise (positive),0.2839469909667969,Admiration,0.26166704297065735,Awe,0.23965783417224884,Adoration,0.2151624858379364,Joy,0.19985966384410858,Interest,0.19047541916370392,Ecstasy,0.0899660512804985,Amusement,0.08357972651720047,Aesthetic Appreciation,0.08011247217655182,Pride,0.040962014347314835,Love,0.03938468545675278,Satisfaction,0.034897495061159134,Confusion,0.02953098528087139,Entrancement,0.026911867782473564,0
spk_0,1.0773,2.0349,How are you move it?,5,0.9525583386421204,4,0.014318067580461502,6,0.01206686906516552,3,0.00545079167932272,9,0.004521139897406101,7,0.0036490452475845814,2,0.003439074382185936,8,0.0032679836731404066,1,0.0027721398510038853,,,,,,,,,,,,,0
spk_0,1.8752999,6.0248995,it? This? This is amazing. This is the best day ever of my life.,Awe,0.6300927400588989,Adoration,0.4991541802883148,Excitement,0.49298280477523804,Admiration,0.42510733008384705,Joy,0.3544257581233978,Surprise (positive),0.34091147780418396,Ecstasy,0.24427559971809387,Satisfaction,0.1345410794019699,Aesthetic Appreciation,0.12641486525535583,Realization,0.12061512470245361,Love,0.11263224482536316,Amusement,0.08286242187023163,Entrancement,0.07748507708311081,Interest,0.07194086909294128,Triumph,0.0717325508594513,0
spk_0,2.2742999,2.7742999,This?,5,0.9088520407676697,4,0.04642891138792038,3,0.016624003648757935,2,0.00996913481503725,1,0.006417361553758383,6,0.005387767683714628,7,0.0016249330947175622,9,0.0014294282300397754,8,0.0011785990791395307,,,,,,,,,,,,,0
unknown,3.1520998,7.1420994,This is amazing. This is the best day ever of my life. How are are you,Joy,0.5423093438148499,Excitement,0.5289793014526367,Adoration,0.49460911750793457,Admiration,0.41792967915534973,Awe,0.4168812930583954,Ecstasy,0.27266374230384827,Surprise (positive),0.25932541489601135,Love,0.17805655300617218,Interest,0.1344166100025177,Satisfaction,0.12341789901256561,Triumph,0.09458880871534348,Amusement,0.09293307363986969,Pride,0.09229693561792374,Aesthetic Appreciation,0.07830056548118591,Nostalgia,0.06588513404130936,0
spk_0,3.1520998,4.0298996,This is amazing.,8,0.2778465449810028,9,0.26570776104927063,7,0.21396514773368835,6,0.15111616253852844,5,0.11191495507955551,4,0.005936795845627785,3,0.002662812592461705,2,0.0020771983545273542,1,0.0015863124281167984,,,,,,,,,,,,,0
unknown,3.7106998,8.099699,amazing. This is the best day ever of my life. How are are you my friends? I'm doing,Joy,0.6329707503318787,Excitement,0.4598101079463959,Adoration,0.3756945729255676,Admiration,0.34959596395492554,Surprise (positive),0.2790640592575073,Ecstasy,0.22821062803268433,Awe,0.2217172384262085,Love,0.19165471196174622,Satisfaction,0.15387828648090363,Sadness,0.14692483842372894,Amusement,0.14236487448215485,Disappointment,0.13423466682434082,Pride,0.12170989066362381,Realization,0.11620613932609558,Nostalgia,0.10514939576387405,0
spk_0,4.1895,6.0248995,This is the best day ever of my life.,8,0.3310528099536896,9,0.32740962505340576,7,0.19640225172042847,6,0.09393768757581711,5,0.07614152133464813,4,0.005142703652381897,3,0.002516557462513447,2,0.0019588638097047806,1,0.0012280570808798075,,,,,,,,,,,,,0
unknown,4.9076996,9.137099,day ever of my life. How are are you my friends? I'm doing good. Why is the,Joy,0.22026661038398743,Excitement,0.16095034778118134,Confusion,0.15829293429851532,Distress,0.13501131534576416,Sadness,0.13284170627593994,Love,0.1326400339603424,Interest,0.1308402717113495,Disappointment,0.11702629178762436,Surprise (positive),0.11000829190015793,Amusement,0.10232699662446976,Awkwardness,0.08708150684833527,Adoration,0.08429925888776779,Admiration,0.07718493789434433,Realization,0.0770847275853157,Envy,0.06293636560440063,0
unknown,5.7056994,9.775499,life. How are are you my friends? I'm doing good. Why is the best year of your life?,Love,0.4455535411834717,Joy,0.4395424425601959,Adoration,0.29752984642982483,Surprise (positive),0.24139773845672607,Admiration,0.22367529571056366,Interest,0.21467618644237518,Contentment,0.157200425863266,Romance,0.1549304872751236,Excitement,0.14514997601509094,Pride,0.14289017021656036,Awe,0.11539849638938904,Confusion,0.11469848453998566,Satisfaction,0.1011820062994957,Ecstasy,0.09535443037748337,Awkwardness,0.084951251745224,0
spk_1,6.5834994,7.5410995,How are are you my friends?,8,0.3059779107570648,7,0.2301788032054901,9,0.1920700967311859,6,0.15999048948287964,5,0.1384674459695816,4,0.010031122714281082,3,0.003733158577233553,2,0.0024196680169552565,1,0.0010405891807749867,,,,,,,,,,,,,0
unknown,6.9824996,11.132099,you my friends? I'm doing good. Why is the best year of your life? Wow This is amazing.,Surprise (positive),0.729834794998169,Admiration,0.5802927017211914,Adoration,0.5311807990074158,Awe,0.521918773651123,Joy,0.4167759418487549,Interest,0.3496004045009613,Love,0.2951941192150116,Excitement,0.20537087321281433,Pride,0.10780800133943558,Amusement,0.10388194024562836,Romance,0.09161466360092163,Envy,0.08214528858661652,Ecstasy,0.0721801370382309,Aesthetic Appreciation,0.05970996245741844,Satisfaction,0.05892461910843849,0
spk_1,7.7804995,8.259299,I'm doing good.,8,0.34302082657814026,9,0.2621203064918518,7,0.22826984524726868,6,0.11711478978395462,5,0.09151288121938705,4,0.006985529325902462,3,0.0028749043121933937,2,0.0020302438642829657,1,0.0009156046435236931,,,,,,,,,,,,,0
unknown,7.9400997,12.169499,"doing good. Why is the best year of your life? Wow This is amazing. Like, we're Have",Surprise (positive),0.630893886089325,Awe,0.44540977478027344,Admiration,0.3277367353439331,Interest,0.3252730965614319,Excitement,0.2503103017807007,Joy,0.23111562430858612,Adoration,0.18761666119098663,Satisfaction,0.15229099988937378,Pride,0.1478540301322937,Triumph,0.12222174555063248,Contentment,0.12106149643659592,Envy,0.12050178647041321,Aesthetic Appreciation,0.10614082962274551,Amusement,0.1060660257935524,Ecstasy,0.09998925775289536,0
spk_1,8.658299,9.775499,Why is the best year of your life?,8,0.35586196184158325,9,0.27883169054985046,7,0.20963653922080994,6,0.09640385210514069,5,0.088287353515625,4,0.006146385334432125,3,0.0027494151145219803,2,0.0019067690009251237,1,0.0010085966205224395,,,,,,,,,,,,,0
